cycle1,phase_cycle1,phase_cycle2,phase_cycle3,phase_cycle4,phase_cycle5,phase_cycle6,phase_cycle7,phase_cycle8,phase_cycle9,phase_cycle10,phase_cycle11,phase_cycle12,phase_cycle13,phase_cycle14,phase_cycle15,phase_cycle16,phase_cycle17,phase_cycle18,phase_cycle19,phase_cycle20,phase_cycle21,phase_cycle22,phase_cycle23,phase_cycle24,phase_cycle25,phase_cycle26,phase_cycle27,phase_cycle28,phase_cycle29,phase_cycle30,phase_cycle31,phase_cycle32,phase_cycle33,phase_cycle34,phase_cycle35,phase_cycle36,phase_cycle37,phase_cycle38,phase_cycle39,phase_cycle40,phase_cycle41,phase_cycle42,phase_cycle43,phase_cycle44,phase_cycle45,phase_cycle46,phase_cycle47,phase_cycle48,phase_cycle49,phase_cycle50,phase_cycle51,phase_cycle52,phase_cycle53,phase_cycle54,phase_cycle55,phase_cycle56,phase_cycle57,phase_cycle58,phase_cycle59,phase_cycle60,phase_cycle61,phase_cycle62,phase_cycle63,phase_cycle64,phase_cycle65,phase_cycle66,phase_cycle67,phase_cycle68,phase_cycle69,phase_cycle70,phase_cycle71,phase_cycle72,phase_cycle73,phase_cycle74,phase_cycle75,phase_cycle76,phase_cycle77,phase_cycle78,phase_cycle79,phase_cycle80,phase_cycle81,phase_cycle82,phase_cycle83,phase_cycle84,phase_cycle85,phase_cycle86,phase_cycle87,phase_cycle88,phase_cycle89,phase_cycle90,phase_cycle91,phase_cycle92,phase_cycle93,phase_cycle94,phase_cycle95,phase_cycle96,phase_cycle97,phase_cycle98,phase_cycle99,phase_cycle100
32,-127.281667205992,-38.4312358781789,-38.4312358781789,110.179458664511,-122.633502846785,54.2933085993971,-179.717757063729,-36.6823507558936,-42.6467031338917,146.023455963743,,-63.434948822922,-106.260204708312,,-151.419506743182,-151.419506743182,103.374440464871,,72.7796207250217,-102.528807709152,-102.528807709152,,-61.4370689664453,,-90.8343455755468,135.674036897985,-31.7151335150978,75.004920870824,-156.522600107907,-67.9169026184467,-36.2538377374448,,-44.0289780689208,-27.9129384572766,,141.546290783294,141.546290783294,,71.8698130874991,42.0693274944331,-71.8258799345309,-2.45403167452708,115.525785947694,-35.2475750583462,142.334378801417,-95.3392368037376,149.931417178138,127.082496965172,-100.660348294535,102.039112116022,,-9.65989307844234,-9.65989307844234,-6.54629078329404,,-98.5307656099481,92.7134094450333,92.7134094450333,-54.4623222080256,127.736755259415,-103.63669778605,-43.0780440410686,-68.8601751913424,73.6104596659652,-19.7369014955009,-19.7369014955009,-131.66908261955,-131.66908261955,14.9854358103218,57.8803111490249,57.8803111490249,107.311646108847,145.678947196535,,92.1409013663231,92.1409013663231,1.07082445478696,-176.719119227391,,33.340707346477,-70.2920211570213,141.34019174591,-121.17134902772,-164.538782259558,-60.0304305234333,102.339087278326,,32.9351155894746,87.1633398988746,,-99.1026224882919,-62.3909499455507,-62.3909499455507,,-123.430027952098,147.699584489597,147.699584489597,-133.221199684326,-1,105.619392138711
14,-121.647695701257,-32.4711922908485,-32.4711922908485,113.263185502643,-113.404689551032,59.0362434679265,-174.546081111409,-31.2777028668665,-32.8789845474142,166.607502246249,,-37.8749836510982,-116.565051177078,,-141.821152364784,-141.821152364784,110.64699082497,,82.6139568487327,-101.30993247402,-101.30993247402,,-55.6456633449603,,-85.66359521434,144.59313426273,-26.3282931051709,80.676408221862,-149.858614447925,-61.4370689664453,-33.5386919745887,,-40.215470311835,-21.7425842713813,,150.018360631151,150.018360631151,,79.1917690596802,48.9646547228561,-64.0195793436272,3.39713291933976,121.664893658954,-25.0771836482502,150.353677859594,-90.7920570921624,158.147158050342,135.769024682578,-97.1250163489018,105.75791038059,,-1.21242808994493,-1.21242808994493,-2.92072152100038,,-95.8263420295558,98.6641354331081,98.6641354331081,180,134.454342406584,-94.8440003750807,-38.7843641002973,-63.2726382669853,77.7576688011256,-11.9293221772383,-11.9293221772383,-118.515546810464,-118.515546810464,20.998719034387,64.4184707420611,64.4184707420611,120.379126011368,150.899522588457,,99.9460049424173,99.9460049424173,6.58194465517801,-175.269061376221,,42.1844433157888,-64.942384581697,146.453891416092,-114.599790605157,-154.230672375661,-55.304846468766,82.4053566314086,,38.2110254255612,94.1247666061424,,-91.8087393224921,-56.9293221772383,-56.9293221772383,,-114.623564786164,153.079814241694,153.079814241694,-134.017882836776,,110.449547610793
-20,-114.623564786164,-26.8219812015815,-26.8219812015815,121.607502246249,-109.051008731321,67.8336541779175,-166.901849205281,-24.486680931716,-28.8865817669107,150.945395900923,,-47.1210963966615,-56.3099324740202,,-140.648247373735,-140.648247373735,117.538823349576,,85.575215548256,-89.3138558021648,-89.3138558021648,,-48.0555934577529,,-78.1850247637768,148.840695491656,-17.6733068120347,85.5443971666737,-143.892548708248,-52.0984042841582,-22.8851212914164,,-32.2424678391233,-14.5804203972038,,156.727095935918,156.727095935918,,84.8055710922652,56.4613080254113,-57.0677689586533,12.3807569288072,128.611252520364,-20.1576108945448,155.112588289075,-82.3331957381858,163.32615282973,140.748663417288,-89.1048262897889,114.663814712464,,3.81407483429035,3.81407483429035,6.57055837164088,,-86.9872124958167,104.229591821213,104.229591821213,129.805571092265,142.711892412659,-90.9443504035797,-28.7171158709779,-58.3924977537511,86.790513682208,-6.58194465517801,-6.58194465517801,-116.916554616951,-116.916554616951,29.0278678529948,70.9374229854602,70.9374229854602,118.123735383289,159.876548922257,,105.538525029032,105.538525029032,15.3128183608063,-167.035491339581,,48.6744995208297,-54.3891475613312,152.402704131356,-108.951113052687,-154.358994175695,-45.5672664098579,122.735226272108,,47.7048759857357,100.885527054659,,-86.1663234629119,-49.3682774345884,-49.3682774345884,,-110.942650549988,160.0168934781,160.0168934781,-122.708651237133,,118.535136598692
-37,-108.331339931312,-18.434948822922,-18.434948822922,125.188743132004,-101.241478767626,73.4651621426549,-161.739732890467,-17.1455509188617,-20.1706534118504,-177.709389957361,,-33.6900675259798,45,,-129.053136946027,-129.053136946027,122.714083919003,,95.4037913602497,-86.8636416316674,-86.8636416316674,,-41.1859251657097,,-71.8258799345309,158.198590513648,-14.0362434679265,94.7078522443722,-137.6025622025,-49.9783553393088,-18.3485299148305,,-27.2767633831137,-7.41691371913839,,163.349894501397,163.349894501397,,90.6437457141754,62.24145939894,-50.563208820744,16.5929934897469,135,-13.5098039532814,163.249735494974,-77.1839978063413,169.992020198559,148.70230015812,-78.6900675259798,120.018367427609,,10.1542665802003,10.1542665802003,11.3099324740202,,-87.6140559696112,112.249023657212,112.249023657212,142.125016348902,146.807063421599,-82.6865113719683,-26.565051177078,-51.581944655178,90.2664900760584,1.44109929212214,1.44109929212214,-108.886087369709,-108.886087369709,34.1359400779123,77.2579713418152,77.2579713418152,137.563770211465,164.34165470098,,112.04794746356,112.04794746356,16.8374726256764,-159.393739386163,,55.5391837286282,-50.8263420295558,160.953375702364,-101.375115357746,-129.805571092265,-42.9649655431401,-32.0053832080835,,51.2868933617365,107.338109142361,,-78.1718283770816,-43.8308606720926,-43.8308606720926,,-101.821488340607,166.473605405945,166.473605405945,-118.02450053207,,124.777831366364
-64,-102.025279609635,-13.1575427400148,-13.1575427400148,137.219655553198,-93.7911656873652,78.9765440362569,-153.924644416051,-13.5909484478413,-14.1068047370731,180,,-31.6754687381092,100.304846468766,,-125.479978134226,-125.479978134226,131.18592516571,,99.5829447235326,-78.9964591482505,-78.9964591482505,,-35.6355077131463,,-64.9106261310714,159.775140568832,-4.83041995828994,100.203973721732,-128.911471845805,-39.3296426561061,-11.1546597389283,,-20.018760393784,-0.686144197835236,,171.002856578935,171.002856578935,,98.5307656099481,69.9479178539015,-43.2642954110716,24.7174409110834,142.270068645373,-6.54038582819662,168.264874741401,-69.9689873191023,178.108845298315,155.282559088917,-80.1341930569156,127.431602978411,,18.6185885130418,18.6185885130418,19.4861295724658,,-78.6900675259798,116.565051177078,116.565051177078,154.230672375661,155.794114955504,-78.2194762230846,-17.2589542929041,-42.5104470780008,98.7877562875628,4.03771062097712,4.03771062097712,-101.377102173041,-101.377102173041,42.694033276005,84.600026576675,84.600026576675,131.18592516571,173.055869489007,,117.75854060106,117.75854060106,28.9797076979288,-154.259291643767,,57.8937440448822,-41.543380827958,165.635417550303,-96.064922445448,116.565051177078,-33.0957342845083,-69.4439547804165,,61.4172328304348,114.489140717037,,-72.7951396248353,-36.4882948615753,-36.4882948615753,,-96.9003281692773,172.137454377845,172.137454377845,-110.924501744921,,131.716137712094
-82,-95.1944289077348,-6.80905017961341,-6.80905017961341,138.239700296102,-91.0050860052542,88.1323211605658,-148.251418864935,-2.17474411461005,-7.84342107495063,180,,-24.4439547804165,94.9697407281103,,-119.248826336547,-119.248826336547,135.235783769877,,108.853158764419,-71.4276514895927,-71.4276514895927,,-28.1528005635329,,-59.476595186537,168.857110141661,-1.06584502756158,103.116436125391,-125.569176293206,-33.6900675259798,-6.13440994392392,,-12.0022948987837,4.37079703790748,,175.914383220025,175.914383220025,,106.294047456599,76.805328924997,-37.3039482779834,30.9147439011604,148.695876504409,-1.60226134627098,174.2894068625,-63.7922983234861,-177.486189763822,161.565051177078,-62.1027289690524,135,,22.2139732255041,22.2139732255041,26.1881106974809,,0,124.426476581439,124.426476581439,155.897765498839,160.906507999514,-71.6555657613573,-11.3099324740202,-39.8602426210094,104.743562836471,14.3567759534565,14.3567759534565,-97.2531946127253,-97.2531946127253,47.6195487953947,89.0906195508009,89.0906195508009,151.557071375637,178.140400661254,,126.007561567251,126.007561567251,29.248826336547,-148.045637062949,,70.2531633945739,-36.6897228324758,174.035512898747,-89.2838400545296,36.869897645844,-26.565051177078,-38.2901631922431,,63.9317205898467,121.429565614839,,-64.5731258304102,-31.6075022462489,-31.6075022462489,,-90,178.924149379209,178.924149379209,-102.854117368989,,137.212042002048
-104,-89.6279547127967,2.91083782616775,2.91083782616775,148.609731895812,-80.9465613378262,92.8912695962206,-139.222230206143,0.784824602991888,0,0,,-15.0378159035823,105.376251248826,,-112.126334809373,-112.126334809373,143.812901637744,,112.492611899059,-67.7144123531672,-67.7144123531672,,-22.8336541779175,,-51.4380495149984,175.314100160497,7.63055422538277,115.463345061872,-115.486387803245,-28.040152977935,2.41950921665634,,-7.99747347180383,12.8541173689889,,-176.26860300084,-176.26860300084,,111.161259816828,83.480198248343,-31.8907918018457,39.0232976170829,155.497340548002,5.30510960621038,-177.015717856407,-54.8916197268222,-167.171217128545,169.620289750432,-70.0168934781,140.381547052132,,29.7448812969422,29.7448812969422,31.0567690794463,,180,131.108323705919,131.108323705919,166.218402764346,168.140220879052,-63.434948822922,-4.67244275538945,-27.9509690278902,111.547665443262,17.6222972286683,17.6222972286683,-88.4263359458975,-88.4263359458975,55.631461535933,97.3057595333108,97.3057595333108,139.398705354996,-177.599785539143,,131.987212495817,131.987212495817,44.2151753970081,-139.698680517299,,70.0168934781,-28.6476164568089,178.181697035548,-82.6352537550174,52.1250163489018,-22.1663458220825,-51.0724564072077,,74.0546040990772,127.775684305955,,-60.7606565795388,-24.6235647861636,-24.6235647861636,,-83.0656510987305,-176.32550047917,-176.32550047917,-97.5946433685914,,146.30993247402
-121,-82.6942404666892,5.19442890773481,5.19442890773481,155.224859431168,-76.0399476833241,100.885527054659,-135,10.3888578154696,5.16694891966776,21.8014094863518,,-11.4336812654267,108.434948822922,,-103.448615051687,-103.448615051687,148.290801411286,,123.967526759102,-58.9503428133774,-58.9503428133774,,-13.7766947132464,,-45.2129944817114,178.726969979943,13.9026871142206,117.407575437818,-112.054257710403,-22.3651243686475,6.13440994392392,,1.02303018866784,17.5255683737229,,-171.64564916462,-171.64564916462,,119.744881296942,90.7994241133176,-22.1569638376382,43.5093681647377,161.902743413287,12.7655657810586,-173.535925680623,-50.9881483757755,-164.671078272694,175.260927681487,-38.6598082540901,147.39966642631,,36.5944392897088,36.5944392897088,40.7777697938573,,111.801409486352,136.871744965289,136.871744965289,169.438989308804,169.530825742289,-59.7035518237616,1.37045101779961,-26.1226215190385,116.690150933553,26.1518676220504,26.1518676220504,-84.2577167221959,-84.2577167221959,61.4107845968777,102.563469398518,102.563469398518,180,-167.905242922988,,138.865461169852,138.865461169852,39.8055710922652,-135.412192741402,,77.7352262721076,-22.7749695488864,-176.423665625003,-77.8208189474759,64.5366549381284,-10.75796708839,-23.1985905136482,,76.2637316943774,134.02235121497,,-52.1972075490615,-17.6733068120347,-17.6733068120347,,-76.6446590370926,-167.943237466167,-167.943237466167,-90.6944602875498,,149.664461488411
-136,-75.8608916883495,16.5570713756367,16.5570713756367,157.963773059855,-70.3461759419467,103.570434385162,-126.497160844142,10.6196552761551,13.8846676852582,15.2551187030578,,-0.609506576675196,118.610459665965,,-100.750966993188,-100.750966993188,156.686894423286,,123.558956131233,-53.2309751011903,-53.2309751011903,,-9.37209270857909,,-39.9305798673875,-171.869897645844,21.8014094863518,128.395164503246,-102.590382945535,-14.100118335013,15.871178611457,,6.45881637871866,26.1881106974809,,-162.040523909526,-162.040523909526,,121.865977693604,96.3401917459099,-19.7671686767917,53.9067441837798,169.286876977209,18.434948822922,-164.207596471143,-42.5633517531899,-155.018760393784,-177.384245124578,-90,153.698982804181,,44.041965891324,44.041965891324,44.8057777625302,,126.384351815836,143.868262833208,143.868262833208,179.265478965745,-176.378515295883,-50.158551780606,9.09027692082232,-18.615692007331,124.746786842141,32.0053832080835,32.0053832080835,-76.1088088285452,-76.1088088285452,67.7965214679426,111.083754582381,111.083754582381,-26.565051177078,-165.089686238777,,145.097504384075,145.097504384075,52.6960517220166,-128.118276369363,,77.0053832080835,-17.30673139111,-168.178511659393,-68.7494944928668,66.1612598168283,-12.5933299561031,-32.1249984403875,,85.7946429982914,141.431645426444,,-48.0940580589171,-11.888658039628,-11.888658039628,,-70.316672453559,-162.597295868644,-162.597295868644,-84.1932730944684,,161.17528998176
-151,-69.1455419604217,20.5560452195835,20.5560452195835,165.618605408909,-61.5787907754732,114.519642688191,-120.779229699812,29.4274564031897,17.1985412200659,34.9920201985587,,1.05118074954375,123.69006752598,,-91.548157698978,-91.548157698978,162.593086966902,,137.121096396661,-48.2704879231836,-48.2704879231836,,-1.83914082340838,,-32.5740571345725,-174.559667968995,27.0611061374732,132.079278479,-96.9195332627057,-9.2333235092772,19.8406980839683,,11.6893691754392,29.8590161649231,,-159.193208987289,-159.193208987289,,133.66778014613,103.055247223797,-10.0562763167064,55.3448574814752,176.347777219694,26.7871267297715,-158.688751574184,-36.4087745677724,-152.268453874923,-172.262627226794,126.869897645844,161.08358537124,,49.0175210436593,49.0175210436593,53.0224036473275,,132.878903603339,151.023919076311,151.023919076311,-175.710846671181,-176.027504059249,-46.9349323095528,13.7550394459949,-8.13010235415598,131.462580570012,37.9772061644268,37.9772061644268,-70.3259014277494,-70.3259014277494,74.7919608093647,116.70901011915,116.70901011915,-8.74616226255521,-155.075429644564,,152.216073587791,152.216073587791,58.5704343851615,-119.054604099077,,180,-10.0079798014413,-158.962488974578,-64.6986213745803,74.7448812969422,0.674036897984505,-18.9704078084865,,89.0833457436147,147.264773727892,,-38.9114718458048,-5.00391995224034,-5.00391995224034,,-62.8297342256772,-154.290046219189,-154.290046219189,-78.5663187345733,,163.823806638392
