phase_cycle1,phase_cycle2,phase_cycle3,phase_cycle4,phase_cycle5,phase_cycle6,phase_cycle7,phase_cycle8,phase_cycle9,phase_cycle10,phase_cycle11,phase_cycle12,phase_cycle13,phase_cycle14,phase_cycle15,phase_cycle16,phase_cycle17,phase_cycle18,phase_cycle19,phase_cycle20,phase_cycle21,phase_cycle22,phase_cycle23,phase_cycle24,phase_cycle25,phase_cycle26,phase_cycle27,phase_cycle28,phase_cycle29,phase_cycle30,phase_cycle31,phase_cycle32,phase_cycle33,phase_cycle34,phase_cycle35,phase_cycle36,phase_cycle37,phase_cycle38,phase_cycle39,phase_cycle40,phase_cycle41,phase_cycle42,phase_cycle43,phase_cycle44,phase_cycle45,phase_cycle46,phase_cycle47,phase_cycle48,phase_cycle49,phase_cycle50,phase_cycle51,phase_cycle52,phase_cycle53,phase_cycle54,phase_cycle55,phase_cycle56,phase_cycle57,phase_cycle58,phase_cycle59,phase_cycle60,phase_cycle61,phase_cycle62,phase_cycle63,phase_cycle64,phase_cycle65,phase_cycle66,phase_cycle67,phase_cycle68,phase_cycle69,phase_cycle70,phase_cycle71,phase_cycle72,phase_cycle73,phase_cycle74,phase_cycle75,phase_cycle76,phase_cycle77,phase_cycle78,phase_cycle79,phase_cycle80,phase_cycle81,phase_cycle82,phase_cycle83,phase_cycle84,phase_cycle85,phase_cycle86,phase_cycle87,phase_cycle88,phase_cycle89,phase_cycle90,phase_cycle91,phase_cycle92,phase_cycle93,phase_cycle94,phase_cycle95,phase_cycle96,phase_cycle97,phase_cycle98,phase_cycle99,phase_cycle100
-59.7035518237616,21.1048385849296,21.1048385849296,32.4275549957725,-135,6.70983680775693,-29.2913621709843,-55.2651404602137,-121.27290342145,-103.324531261891,-138.660398547875,-135.824342820845,39.2256740973367,30.1672956103844,142.594643368591,-169.992020198559,36.9919332004148,-130.021644660691,78.4078245897089,-35.661605023764,,-94.0856167799749,132.3974377975,51.7329213268596,51.7329213268596,78.4762782961027,78.4762782961027,-169.380344723845,177.234238165751,-150.945395900923,,132.678469410167,169.508522987668,-77.6752725658626,,120.790308688006,132.24089234138,,106.557071375637,58.3487271132874,-175.100907546212,-3.79467226831578,111.209226134223,111.209226134223,-162.030860259843,-8.32565033042684,-8.32565033042684,100.304846468766,31.6075022462489,-109.895431334766,102.695364738573,-116.565051177078,46.029154804306,-82.6809806244096,-15.0684881594922,,-80.7164471947387,140.731681020063,-51.2258290644258,140.779485825156,,38.9801487313511,-28.3421544434213,,135,66.974507991472,133.967755308434,-25.8988512068948,-1.03224469156573,-78.6900675259798,-78.6900675259798,130.763605200941,-67.813322106552,113.28235621349,38.4857897170003,38.4857897170003,-43.8147391813776,-37.5868042912507,-101.424067342001,,-124.695153531234,-124.695153531234,-178.939088309736,-9.21892613810745,-7.0912732553276,-175.493393116232,-175.493393116232,77.6919841825721,-17.4957578771864,,18.5278106208874,,45.9548412538722,12.2296157575579,-145.972240237812,-110.998719034387,61.4538092689566,-156.860538236788,110.968507711317,
-55.1959882472868,31.476839349584,31.476839349584,45,-5.71059313749964,16.1573398645879,-22.3568913292943,-49.6858998395027,-115.36041091793,-93.9909130984298,-134.041965891324,-127.514961049627,48.6913859864513,35.6108524386688,151.225275361178,-154.230672375661,44.3414568224364,-122.339377079741,87.2897968998254,-29.8759926916894,,-86.5526131481348,138.954247715521,58.768090451483,58.768090451483,84.5596679689945,84.5596679689945,-156.614778942786,-176.221802292838,-165.963756532074,,139.666858371439,177.912016167277,-68.8242605828954,,126.599317463682,138.556181094255,,110.556045219583,65.7722546820458,-172.50414236027,3.57633437499735,116.896236965493,116.896236965493,-156.456555132563,-0.590657214646671,-0.590657214646671,107.909314216464,40.3225821411183,-103.657642505812,108.434948822922,-26.565051177078,56.0324732408977,-77.9432374661674,-23.8059435184577,,-74.9621840964178,150.826154076173,-42.9545915111128,147.505200055146,,46.2453642667684,-17.3189384315147,,93.0127875041834,84.4724598483438,137.928858199693,-18.1572654743793,4.04958170327138,-101.30993247402,-101.30993247402,134.169684513742,-61.6363969690567,118.867159469515,47.7065128677028,47.7065128677028,-39.6948903937896,-30.7152941714429,-96.5030559448817,,-117.987453190756,-117.987453190756,-173.178847635216,-2.39842133409251,-3.27048792318357,-170.403075581853,-170.403075581853,79.695153531234,-10.1246716553978,,26.565051177078,,53.2671733355106,17.9908043898101,-136.468800714386,-106.905158098636,68.6113771721812,-147.994616791917,114.25715038569,
-47.8985767992817,34.6336773965495,34.6336773965495,46.2921668862499,-5.71059313749964,18.7586503478422,-15.2929876859858,-42.5529513576764,-109.674098572251,-90,-123.69006752598,-124.804011752713,54.2933085993971,44.0977788384698,156.41834885515,-152.102728969052,50.2355896617984,-117.474431626277,93.0848123304976,-22.9195548324666,,-82.0928372970415,145.105036365038,63.8078011270346,63.8078011270346,90.7920570921624,90.7920570921624,-156.974507991472,-169.165321156622,45,,146.848266238414,-176.514208816878,-65.9343684194427,,133.692104398336,147.724355685422,,122.124998440388,72.1213034041587,-162.255328374943,10.304846468766,124.865748712604,124.865748712604,-148.116436125391,4.71760250456169,4.71760250456169,112.8645081219,45.7505567963643,-96.2156358997027,113.772348811365,153.434948822922,59.2158534736736,-69.0071466268858,-16.6992442339936,,-66.2012907970989,155.376435213836,-38.3201139367774,153.853158764419,,52.2750049578893,-14.3227199782036,,142.125016348902,76.8659776936037,147.587693381649,-11.0702025779394,7.9893267663969,-53.9726266148964,-53.9726266148964,143.868262833208,-53.130102354156,123.964645836965,50.7105931374996,50.7105931374996,-30.523404813463,-24.590117166196,-87.6862775021758,,-111.161259816828,-111.161259816828,-167.025897270763,3.99804209920338,2.98428214359338,-161.037804285411,-161.037804285411,87.5104470780009,-5.24713890161644,,31.2184027643464,,58.9247732204094,25.0674634380605,-133.484592099978,-97.2750049578893,75.1243179983612,-142.792078078218,124.122806876848,
-42.9299693469589,42.2736890060937,42.2736890060937,52.9893267663969,19.2900462191887,27.8104154438463,-10.5391837286282,-34.7431801583036,-101.30993247402,-81.7241071729248,-121.246929413477,-114.775140568832,59.1985540238632,47.4700512959609,162.434985312707,-140.527540151656,55.8685253401687,-109.15561244544,98.7707632827322,-18.7526670793267,,-72.5972958686437,154.840698083968,72.0575529108413,72.0575529108413,96.7425866067128,96.7425866067128,-145.007979801441,-161.477843056427,59.0362434679265,,151.62620950043,-169.092338204502,-56.5921754102911,,139.102796923242,151.429301451533,,126.253837737445,77.8631755447077,-159.676863170337,14.9898623596818,129.340518159838,129.340518159838,-144.782407031807,12.4309220762877,12.4309220762877,119.538782259558,52.2531946127253,-88.9087837747374,122.87290896507,135,69.1209831194426,-65.1858030094648,0,,-62.8121931357157,161.368833521184,-31.6075022462489,160.680623975586,,59.5344550805401,-6.05419189411483,,128.65980825409,87.6140559696112,152.887553572044,-6.74557964748282,18.5792703804447,-75.9637565320735,-75.9637565320735,148.834853156659,-48.3664606634298,132.843437325285,59.6382785383737,59.6382785383737,-26.565051177078,-17.8875535720443,-83.5956472736159,,-104.178064414707,-104.178064414707,-159.69552629004,10.6387666095068,11.7791321906938,-158.399451319239,-158.399451319239,97.9071627029585,1.70135460532612,,38.8533743403533,,64.942384581697,30.8668094511371,-124.045937356602,-93.6913859864513,81.1479959006106,-135.299975162304,127.434678931568,
-31.5741907502853,50.0636168530301,50.0636168530301,63.1455786594814,32.9052429229879,31.5347919051883,-2.38594403038881,-32.0053832080835,-97.0067996400806,-80.8376529542783,-111.900622858208,-110.127488693008,68.1063268582716,56.1254056417587,169.695153531234,-127.874983651098,65.3151956267321,-103.819761703945,106.955313052025,-8.36588612403259,,-69.6467708519312,158.355564859286,76.4936445874177,76.4936445874177,102.242331198874,102.242331198874,-145.097504384075,-156.801409486352,52.1250163489018,,158.552263672895,-163.935815507328,-52.6744795168939,,148.840695491656,160.497551493338,,135.725224299059,84.2894068625004,-151.654306376923,22.7881693135538,137.250640897038,137.250640897038,-135.567266409858,16.8916957446745,16.8916957446745,125.928502422823,58.1725534233269,-86.855042535302,126.803888712475,150.255118703058,70.0168934781,-56.1214601948904,-5.9468630539735,,-55.4077113124901,168.875891024218,-23.7723488113647,165.891686407174,,65.6709583818163,0.584630520705178,,138.179830119864,108.434948822922,159.443954780417,0.619389703218117,20.5014258085663,-46.6365770416167,-46.6365770416167,155.695450734063,-39.6184529478681,135,65.5560452195835,65.5560452195835,-18.9876240878702,-13.353370207241,-74.9621840964178,,-99.125008647936,-99.125008647936,-153.929932443679,15.9453959009229,15.2551187030578,-148.518382816912,-148.518382816912,99.2110265408167,6.91122711902468,,43.4868784439317,,73.6279866704699,37.7756843059547,-117.992053044593,-88.1323211605658,88.6251652194306,-129.369317242365,135.634244714426,
-32.1957339347133,53.3658861240326,53.3658861240326,64.7988763545249,27.4744316262771,39.9575489308291,2.36624799145579,-21.644435140714,-89.6984460501317,-66.0375110254218,-107.142781936672,-102.890480629751,72.0575529108413,62.842765470793,173.990994042505,-146.30993247402,68.6293777306568,-96.9810574068298,112.38013505196,-5.9061411137705,,-62.1524217402118,167.427554995772,83.3057708681068,83.3057708681068,111.695109460797,111.695109460797,-132.978635059644,-147.613627454019,73.6104596659652,,163.827840984217,-155.720485299691,-43.025065989118,,149.290325081818,162.937142826539,,138.73139699916,92.8063702517883,-143.88065915052,27.1146341247669,140.379701599125,140.379701599125,-129.600026576675,25.8910142790935,25.8910142790935,133.058513609086,65.2726856133099,-73.4126614430726,134.52254622269,149.53445508054,80.7273982227997,-52.3523793598924,7.85331330197822,,-49.7636416907262,174.127371718933,-20.3441012559184,173.927543592792,,72.4602248872891,4.20535700170859,,147.425942865428,96.0090059574945,164.931511840508,4.39870535499553,30.4435756799257,-54.4623222080256,-54.4623222080256,162.749056115215,-34.9456644000057,145.150648280267,70.7099537808113,70.7099537808113,-11.9042657154917,-4.52882423693254,-69.2372360880368,,-90.8814039965822,-90.8814039965822,-147.528807709152,24.9779167633552,23.8830953355366,-145.030213319733,-145.030213319733,103.495733280796,15.1095751223405,,50.7992176290984,,76.6672164294362,43.95837332399,-114.057349450012,-78.8261617581853,93.4533162505311,-122.988521613635,141.683864108034,
-19.1601731219813,63.434948822922,63.434948822922,75.4110812671254,45,47.1858008067756,7.43140797117251,-20.4495476107926,-83.6228193763926,-68.7494944928668,-99.9460049424173,-97.1590804230768,79.7431801583036,67.8905516562483,-175.17478307289,-54.4623222080256,77.1062559551178,-88.7811247648687,120.054376082874,1.56506908559226,,-56.5751888173962,171.556809070823,88.401462907324,88.401462907324,115.129966479484,115.129966479484,-128.65980825409,-142.965774565211,52.1250163489018,,170.279784051939,-151.139242651193,-40.2720121811578,,160.371561753096,172.874983651098,,149.036243467926,96.3943977652276,-139.085616779975,36.1680913490307,149.670913958016,149.670913958016,-124.886047854208,29.4071890607336,29.4071890607336,137.511363267163,71.3582081063007,-73.3007557660064,139.885202568117,162.897271030948,84.2894068625004,-43.9769698113322,13.5704343851615,,-42.0288367380494,-179.345219597732,-9.8193006387579,178.824866762761,,79.9437236832936,13.6185416614411,,153.434948822922,180,172.715976345583,12.7754669827595,36.1847789767768,-45,-45,168.040237778069,-27.464238461554,149.097785634928,78.032897623415,78.032897623415,-7.67241159977955,0.553565185882385,-62.8318576285415,,-87.2297842027998,-87.2297842027998,-141.039541989164,29.6237487511738,28.9200440376065,-138.660398547875,-138.660398547875,113.498565675952,19.7671686767917,,57.6258368789073,,85.7636052009412,49.4295592989776,-106.203774214891,-76.7989128242944,100.304846468766,-116.095424157388,145.594765712337,
-17.7446716250569,68.1985905136482,68.1985905136482,76.349580865243,42.6140559696112,50.7105931374996,16.3017083443074,-9.46232220802562,-77.6417149406824,-52.4314079711725,-92.7393357219186,-91.9652605719205,85.9958270592906,76.3099503825345,-174.253730790204,161.565051177078,83.5092283655243,-85.8510963022657,125.095816787026,8.45069889360205,,-44.169684513742,177.336999233933,97.3264066601696,97.3264066601696,125.244524002408,125.244524002408,-120.379126011368,-135.971021931079,82.5685920288275,,176.943419551851,-142.961750891008,-32.8450583027778,,162.434985312707,177.588970253389,,153.778033222446,106.598104392861,-131.729512076816,39.0150476848846,153.898246915264,153.898246915264,-115.984370591185,38.9909940425055,38.9909940425055,145.437475351118,78.3663660010596,-62.24145939894,147.285916080997,164.577838681261,91.9091524329964,-38.3201139367774,20.0560947365754,,-36.9801877493018,-171.634113875967,-8.91492695714787,-174.37759937291,,85.0302592718897,15.5545712700744,,157.796521467943,98.130102354156,176.917819175472,17.0079469554073,42.9441112149953,-33.6900675259798,-33.6900675259798,175.774001822042,-21.2361779806719,154.253404284611,84.5309050298881,84.5309050298881,0,5.87739260664314,-56.3099324740202,,-78.9803172189655,-78.9803172189655,-134.215175397008,37.2664019009771,36.4411252609024,-130.805817211609,-130.805817211609,109.440034828176,27.1946497854883,,63.434948822922,,91.827968244305,58.0582433948713,-98.9726266148964,-65.1706534118504,108.434948822922,-111.00968403416,156.006789430772,
-9.53323279003002,73.3611943295737,73.3611943295737,89.0608090542644,49.3987053549955,59.8399391619129,18.9246444160512,-5.19442890773481,-70.893646994228,-57.2647737278924,-85.9717363335149,-83.7790500788404,92.8063702517883,81.869897645844,-162.228679177091,29.0546040990771,87.9047474353762,-73.4842974110469,131.241444314528,14.6973192795119,,-41.6335393365702,-174.726104042648,101.790500902031,101.790500902031,127.483558283731,127.483558283731,-114.120983119443,-131.027504059249,73.8107937429731,,-175.743973274516,-137.557904550192,-19.476575498932,,171.869897645844,-176.308614013549,,159.179107146689,108.434948822922,-125.537677791974,50.3198939178069,160.54202098841,160.54202098841,-110.87464682645,44.1048262897889,44.1048262897889,150.871178611457,81.3935264802111,-56.7251120151651,153.274905162316,173.990994042505,96.7889745744388,-36.869897645844,23.4286928087454,,-26.4368729132545,-168.826161758185,1.00508600525418,-167.409617054465,,92.4895529219992,27.5422831351764,,169.159694545669,-141.34019174591,-173.506474687461,26.4130733385141,47.3859440303888,-38.6598082540901,-38.6598082540901,-178.642534155469,-15.058057469727,165.256437163529,88.7269699799433,88.7269699799433,5.97777359236066,14.1026348397335,-50.7105931374996,,-73.790975072192,-73.790975072192,-128.26707867314,42.5318820861715,41.3396014521246,-126.761894419358,-126.761894419358,129.2894068625,32.0053832080835,,68.7671077045816,,99.0047791252773,61.2940474565989,-92.6025622024998,-63.7998851586527,111.077494116987,-102.835609486401,159.107122802447,
-5.42059528376237,82.9620592368153,82.9620592368153,91.8476102659946,59.9314171781376,65.3764352138364,28.3792430861079,3.57633437499735,-64.0256060375687,-41.9335144988741,-80.2646261044951,-79.5697800343709,97.7651660184253,87.8789036033385,-159.443954780417,56.3099324740202,96.4187867302388,-74.0120998194016,138.058697574096,20.5193171608237,,-34.4389893088036,-168.69006752598,108.954231699511,108.954231699511,137.164789153454,137.164789153454,-108.904575842612,-123.69006752598,88.2642954110716,,-170.855228346216,-128.173137661526,-26.2502423696889,,177.157862116344,-167.164390513599,,168.146995832256,119.566575504777,-120.493358402476,53.6731740478798,166.122470196792,166.122470196792,-104.931417178138,50.4714091095958,50.4714091095958,156.801409486352,92.9273479917409,-53.130102354156,158.93655154787,178.408859728805,103.157542740015,-22.4258619213518,30.9637565320735,,-24.8141969905352,-157.880637176418,6.28249208816138,-162.400748822872,,98.3580684437,30.3373347864578,,167.074000875294,-45,-168.419380817772,30.8465874121486,56.9441771884463,-20.6954507340633,-20.6954507340633,-171.593490102632,-10.0865316846538,165.774036101248,97.8640247954995,97.8640247954995,11.1187348093854,20.0764600515325,-43.0113621435259,,-67.5696201966584,-67.5696201966584,-121.442807070464,50.4968925057356,49.920616036364,-118.502436076929,-118.502436076929,110.556045219583,40.8439433987236,,78.7545171945371,,103.124637248411,71.0033458445114,-86.3915311474337,-52.7920780782184,121.429565614839,-99.0085037420252,169.027759762188,
